['Time':2016-10-30 21:02:38,'Commit:'onlineDuration]{126}
['Time':2016-10-30 21:02:49,'Commit:'onlineDuration]{0}
['Time':2016-10-30 21:03:28,'Commit:'onlineDuration]{0}
['Time':2016-10-30 21:03:42,'Commit:'onlineDuration]{0}
['Time':2016-10-30 21:05:42,'Commit:'onlineDuration]{63}
['Time':2016-10-30 21:06:14,'Commit:'onlineDuration]{0}
['Time':2016-10-30 21:09:36,'Commit:'onlineDuration]{189}
['Time':2016-10-30 21:09:41,'Commit:'onlineDuration]{0}
['Time':2016-10-30 21:10:03,'Commit:'onlineDuration]{0}
['Time':2016-10-30 21:12:25,'Commit:'onlineDuration]{126}
['Time':2016-10-30 21:13:53,'Commit:'onlineDuration]{63}
['Time':2016-10-30 21:16:19,'Commit:'onlineDuration]{126}
['Time':2016-10-30 21:16:33,'Commit:'onlineDuration]{0}
['Time':2016-10-30 21:17:18,'Commit:'onlineDuration]{0}
['Time':2016-10-30 21:17:28,'Commit:'onlineDuration]{0}
['Time':2016-10-30 21:18:04,'Commit:'onlineDuration]{0}
['Time':2016-10-30 21:20:25,'Commit:'onlineDuration]{126}
['Time':2016-10-30 21:20:58,'Commit:'onlineDuration]{0}
['Time':2016-10-30 21:21:30,'Commit:'onlineDuration]{0}
['Time':2016-10-30 21:22:31,'Commit:'onlineDuration]{63}
['Time':2016-10-30 21:26:54,'Commit:'onlineDuration]{252}
['Time':2016-10-30 21:31:51,'Commit:'onlineDuration]{252}
['Time':2016-10-30 21:32:13,'Commit:'onlineDuration]{0}
['Time':2016-10-30 21:32:21,'Commit:'onlineDuration]{0}
['Time':2016-10-30 21:33:07,'Commit:'onlineDuration]{0}
['Time':2016-10-30 21:34:10,'Commit:'onlineDuration]{63}
['Time':2016-10-30 21:35:04,'Commit:'onlineDuration]{0}
['Time':2016-10-30 21:35:21,'Commit:'onlineDuration]{0}
['Time':2016-10-30 21:36:08,'Commit:'onlineDuration]{0}
['Time':2016-10-30 21:36:35,'Commit:'onlineDuration]{0}
['Time':2016-10-30 21:37:13,'Commit:'onlineDuration]{0}
